Sections Found,,,,,,,,,,,,,,,,,,,
PREP-Pre-Professional 3+1,,,,,,,,,,,,,,,,,,,
Select,CRN,Subj,Crse,Sec,Cmp,Cred,Title,Days,Time,Cap,Act,Rem,XL Cap,XL Act,XL Rem,Instructor,Date (MM/DD),Location,Attribute
NR,17082,PREP,4000,1,24M,0,Pre-Professional 3+1 Program,,TBA,15,4,11,0,0,0,Eric B Miller (P),01/17-05/04,TBA TBA,Credit from 4-Year College and Upper-Division Work
