Sections Found,,,,,,,,,,,,,,,,,,,
PLEG-Paralegal Studies,,,,,,,,,,,,,,,,,,,
Select,CRN,Subj,Crse,Sec,Cmp,Cred,Title,Days,Time,Cap,Act,Rem,XL Cap,XL Act,XL Rem,Instructor,Date (MM/DD),Location,Attribute
NR,10138,PLEG,3420,1,24M,3,Torts,W,06:00 pm-09:00 pm,25,9,16,0,0,0,Darwin K Colston (P),01/17-05/04,PH 212,Credit from 4-Year College and Upper-Division Work
NR,17439,PLEG,4010,2,24M,3,Internship,,TBA,5,1,4,0,0,0,Lisa G Langenbach (P),01/17-05/04,TBA TBA,Credit from 4-Year College and Upper-Division Work
