AIR
    8  709  709  888  888  951  951 1231 1490 2051 2224 2399 2399 2338 1649  974  974  878  878  769  769  706  706  706
  932 1504 1504 1732 1751 1943 1943 2388 3156 2742 3708 2909 2909 2885 1989 1960 1412 1374 1374 1177 1158  966  966  966
   38   38   38   38   38   38   38  324  583 1150 1308  802  802  741  733  703  703  703  703  703  703  703  703  703
DSB
   24   79   89  131  131  201  201  266  397  567  552  580  580  526  369  280  280  238  238  202  168  168  168  168
  165  506  523  523  523  557  557  579  795  809 1006  823  823  782  630  596  279  238  238  208  208  204  204  204
   17   72   82  124  124  193  193  257  387  556  534  542  542  516  359  277  277  235  235  199  167  167  167  167
  152  414  431  431  431  474  474  474  670  679  869  705  705  693  542  521  259  242  242  212  212  199  199  199
    0    0   10   10   10   10   10   39  138  274  262  144  144  144  144  134  134  134  134  134  134  134  134  134
EHS
    0   76   76   95   95   95   95   95  117  117  117  286  286  162   95   48   48   19   19    0    0    0    0    0
  226  350  350  426  426  426  426  484  680  622  793  597  597  501  394  371  258  225  225  171  171  171  171  171
    0   47   47   81   81   81   81   81  103  103  103  241  241  148   81   34   34   34   34    0    0    0    0    0
  226  339  339  376  376  462  462  520  654  596  702  568  568  472  365  342  229  229  229  192  192  106  106  106
    0    0    0    0    0    0    0    0   22   22   22   30   30   30   30   30    0    0    0    0    0    0    0    0
EZEL
    0   32   32   32   32   32   32   32   32   32   32   54   54   54   32   11   11    0    0    0    0    0    0    0
   19   40   40   40   40   50   50   50   50   50   60   60   60   60   41   41   32   20   20   20   20   10   10   10
    0   21   21   21   21   21   21   21   21   21   21   43   43   43   21    0    0    0    0    0    0    0    0    0
   19   40   40   40   40   52   52   52   52   52   62   62   62   62   43   43   34   22   22   22   22   10   10   10
    0    0    0    0    0    0    0    0    0    0    0    9    9    9    9    0    0    0    0    0    0    0    0    0
FAIR
    0    0    0    0    0    0    0    5    5    5    5    7    7    7    7    7    5    5    5    5    5    5    5    5
    0    0    0    0    0    0    0    5    5    5    5    9    9    9    9    9    5    5    5    5    5    5    5    5
    0    0    0    0    0    0    0    4    4    4    4    8    8    8    8    8    4    4    4    4    4    4    4    4
    0    0    0    0    0    0    0    2    2    2    2    6    6    6    6    6    2    2    2    2    2    2    2    2
    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0
FEC
    0    0    0    0    0    0   16   16    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0
    0    0    0    0    0    0   16   16    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0
    0    0    0    0    0    0   16   16    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0
    0    0    0    0    0    0   16   16    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0
    0    0    0    0    0    0   16   16    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0
FH
    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0
   93  106  106  106  106  106  106  106  106  106  119  119  119  119   70   70   13   13   13   13   13   13   13   13
    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0
   93  106  106  106  106  106  106  106  106  106  119  119  119  119   70   70   13   13   13   13   13   13   13   13
    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0
FSB
    0   20   20   20   20   32   32   32   32   32   32   32   32   32   32   32   32   12   12   12   12    0    0    0
    0   15   15   15   15   30   30   30   30   30   30   30   30   30   30   30   30   15   15   15   15    0    0    0
    0   20   20   20   20   32   32   32   32   32   32   32   32   32   32   32   32   12   12   12   12    0    0    0
    0   15   15   15   15   30   30   30   30   30   30   30   30   30   30   30   30   15   15   15   15    0    0    0
    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0
GC
    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0
HARR
    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0
HC
    0   15   15   15   15   15   15   15   15   15   15   35   35   35   15   15   15    0    0    0    0    0    0    0
   14   40   40   40   40   40   40   69   83   54   80   66   66   66   52   52   26   26   26   26   26   26   26   26
    0   19   19   19   19   19   19   19   19   19   19   39   39   39   19   19   19    0    0    0    0    0    0    0
   14   40   40   40   40   40   40   69   83   54   80   66   66   66   52   52   26   26   26   26   26   26   26   26
    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0
HMA
    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0
    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0
HOB
    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0
