                    PCS     FAIR      EHS      ING     ALOF     ALUM       UP     HARR       BH      JUB       PH      KOM      VET      AMG      SFA      WMB       JH     TODD      WPS      DSB      KUC       FH      BDA     CKNB      LRC      SCI      LIB      BAS      SAG      HMA      TCM      HOB      TLC       MB    BRAGG      COE       VA       HC       GH     HONR 
Rutherford      : 6939.4   7123.28  6346.91  6190.39  6136.11  6173.25  5363.39  5278.7   4606.09  5677.84  5233.95  5294.65  5673.3   5855.41  4925.64  4797.07  4871.9   4740.72  4773.29  4607.65  4477.88  4469.6   4627.54  4282.48  4049.66  4044.37  3679.37  3705.06  4012.32  4130.49  4322.96  4512.7   3951.07  3669.75  3384.66  3277.47  3713.29  3582.4   3520.47  2877.55  
Softball        : 5536.9   5572.54  4810.46  4842.65  4819.04  4869.01  4265.81  4189.22  3235.64  4219.55  3768.94  3791.68  4151.35  4318.41  3400.64  3269.33  3373.47  3274.02  3352.54  3180.12  3006.58  2959.8   3096.16  2746.52  2581.47  2698.8   2319.34  2212.29  2469.79  2579.55  2791.14  2980.43  2426.69  2125.99  1971.17  1796.29  2166.72  2034.93  1981.62  1445.33  
Ezell           : 4112.78  4580.9   3682.87  3378.13  3340.14  3385.65  2790.75  2717.85  1781.3   2868.04  2433.95  2549.26  2967.94  3207.31  2258.13  2148     2128.91  1950.38  1950.27  1788.39  1700.17  1773.99  2007.13  1720.28  1284.55  1224.42  853.135  1027.84  1541.47  1796.11  2294.6   2449.74  2057.68  1284.5   586.788  653.483  1655.27  1548.79  1626.39  300.027  
MtsuBlvdG       : 4837.12  4951.01  4150.75  4148.35  4129.79  4182.05  3641.93  3569.23  2541.62  3521.5   3071.48  3105.18  3476.7   3659.69  2728.41  2599.77  2684.53  2576.35  2652.77  2480.21  2309.35  2276.01  2430.74  2087.77  1883.15  2013.26  1633.77  1519.12  1824.72  1974.37  2284.76  2468.47  1951.11  1486.47  1275.65  1098.57  1624.32  1491.76  1481.64  750.989  
Rec             : 4468.48  4798.09  3937.82  3747.95  3715.6   3762.95  3170.27  3096.28  2144.73  3195.16  2752.89  2835.21  3236.6   3453.52  2504.97  2385.5   2411.52  2261.42  2292.6   2125.48  2001.62  2028.94  2230.3   1913.03  1575.13  1595.64  1218.63  1259.36  1690.56  1903.35  2326.61  2497.19  2041.16  1385.21  901.714  835.569  1661.85  1539.35  1579.9   407.922  
Abernathy       : 3957.31  4751.84  3797.2   3168.34  3097.47  3129.47  2365.64  2286.32  1653.09  2830.04  2432.54  2625.64  3069.31  3347.18  2424.63  2335.95  2229.29  1992     1898.22  1763.69  1781.83  1949.81  2225.95  2000.98  1429.43  1102.03  832.788  1314.69  1889.53  2177.42  2731.65  2869.87  2537.05  1699.94  823.067  1067.23  2128.88  2036.48  2133.82  843.403  
MTSU            : 6004.8   5712.41  5056.97  5369.65  5370.05  5428.51  4941.62  4869.16  3776.36  4641.37  4190.81  4148.09  4455.56  4570.54  3713.61  3577.82  3749.67  3706.52  3840.85  3665.91  3440.76  3325.27  3398.13  3044.21  3036.78  3277.32  2902.27  2645.8   2749.39  2773.85  2813.23  2999.06  2433.54  2416.96  2525.01  2276.96  2292.68  2176.12  2069.55  2020.04  
Highland        : 2658.28  3656.63  3692.85  3476.13  3594.13  3592.98  4814.42  4895.77  4982.33  3917.74  4369.15  4395.21  4131.85  4111.56  4844.23  4979.9   4792.08  4863.39  4803.63  4970.74  5131.21  5216.22  5159.48  5508.18  5555.42  5547.25  5901.65  5929.53  5804.39  5841     6068.72  5939.29  6382.67  6127.53  6194.77  6340.63  6342.85  6433.84  6574.43  6711.36  
MEC             : 2309.46  3013.73  3102.57  3156.09  3302.53  3317.37  4590.43  4666.71  4573.6   3453.93  3899.69  3886.69  3589.87  3540.46  4320.31  4456.3   4295.79  4394.45  4367.37  4528.34  4660.13  4716.85  4636.29  4988.92  5087.88  5135.76  5476.53  5451.13  5284.67  5300.73  5494.74  5358.38  5819.4   5615.15  5747.91  5870.22  5802.19  5898.75  6034.32  6255.73  
BellStG         : 2691.96  3449.69  3562.28  3529.01  3662.2   3669.15  4919.25  4998.34  4988.51  3887.48  4335.78  4334.39  4044.95  3999.54  4772.11  4908.1   4740.51  4830.94  4792.5   4955.9   5097.56  5162.75  5088.1   5440.01  5524.53  5552.41  5898.7   5891.44  5736     5756.25  5954.26  5818.11  6278.17  6064.89  6178.13  6308.31  6257.91  6353.49  6489.99  6689.25  
Jackson         : 2716.38  3296.33  3463.76  3561.61  3704.88  3717.48  4983.81  5061.12  4983.06  3859.6   4304.09  4283.16  3976.03  3912.78  4711.59  4847.49  4694.7   4798.48  4775.28  4935.61  5063.6   5114.57  5027.37  5380.83  5491.62  5544.99  5884.89  5852.75  5676.11  5684.74  5861.47  5720.78  6191.94  6008.53  6154.14  6273.02  6185.5   6284.18  6417.62  6660.64  
Livestock       : 4447.33  3386.76  2968.07  4095.78  4191.88  4277.71  4424.87  4387.95  2875.7   3098.66  2736.45  2488.5   2584.11  2545.62  2025.98  1917.27  2255.18  2418.68  2716.21  2585.67  2251.2   1943.71  1779.17  1568.62  2101.92  2705.98  2515.82  1867.45  1393.22  1127.25  612.732  715.374  491.724  1366.13  2242.94  1933.67  880.182  954.425  858.389  2185.54  
Greenhouse      : 4330.72  3962.04  3276.9   3785.84  3826.36  3898.36  3727.02  3673.36  2292.54  2943.32  2504.22  2406.52  2685.19  2790.58  1953.98  1818.13  2032.56  2051.14  2257.55  2090.12  1803.11  1614.34  1638.36  1290.77  1469.2   1935.64  1640.49  1101.34  995.261  993.942  1154.5   1342.39  807.257  696.976  1287.54  948.768  529.528  402.631  342.251  1085     
ChampionWayG    : 3609.92  2861.42  2260.03  3240.49  3337.59  3423.91  3633.51  3603.4   2075.15  2248.47  1881.15  1641.23  1779.73  1797.46  1173.82  1062.4   1400.9   1577.69  1885.98  1768.24  1434.02  1111.8   925.108  753.467  1367.33  1996     1888.07  1244.69  672.298  364.088  272      349.125  484.066  834.889  1710.14  1475.67  586.911  718.977  788.365  1846.6   
Greenland       : 3331.28  1743.11  1533.63  3271.3   3433.15  3528.06  4149.97  4145.76  2696.5   2235.26  2085.89  1710.99  1505.3   1276.86  1472.14  1476.56  1789.01  2084     2401.47  2369.63  2105.64  1805.08  1501.47  1648.68  2279.57  2861.34  2891.16  2332.89  1775.71  1531.13  1242.15  1053.73  1620.84  2050.28  2826.74  2662.56  1856.62  1989.66  2039.14  3068.04  
MiddleTN        : 2972.61  615.168  1147.62  3226.46  3427.73  3518.88  4457.81  4477.4   3251.91  2358.66  2443.37  2090.13  1675.45  1334.98  2126.03  2202.2   2379.6   2672.72  2926.57  2965.27  2803.67  2587.38  2311.46  2579.58  3107.22  3584.61  3719.99  3274.35  2787.59  2606.27  2433.37  2248.65  2812.99  3106.65  3753.48  3660.72  3005.19  3135.6   3205.81  4086.9   
